CaseID,ActivityID,CompleteTimestamp
173688,3,2011-10-01 19:45:13
173688,5,2011-10-01 20:17:08
173688,6,2011-10-13 18:37:37
173691,3,2011-10-01 19:43:13
173691,5,2011-10-01 22:36:25
173691,6,2011-10-10 19:30:54
173691,6,2011-10-10 22:17:34
173694,3,2011-10-01 19:35:59
173694,5,2011-10-03 21:44:21
173694,6,2011-11-05 1:05:01
173703,3,2011-10-01 19:40:24
173703,3,2011-10-01 21:02:12
173706,1,2011-10-01 18:16:49
173706,3,2011-10-01 19:50:14
173706,3,2011-10-01 23:00:02
173709,3,2011-10-01 18:27:07
173709,3,2011-11-01 18:15:08
173712,1,2011-10-01 18:10:25
173712,3,2011-10-01 21:03:35
173712,3,2011-10-03 22:42:55
173715,3,2011-10-01 19:46:06
173715,5,2011-10-09 0:38:17
173715,6,2011-10-13 19:05:28
173718,3,2011-10-01 18:44:43
173718,5,2011-10-01 18:44:58
173718,6,2011-10-13 20:36:12
173718,4,2011-10-13 21:05:42
173718,6,2011-10-19 16:53:21
173718,4,2011-10-19 17:17:01
173718,6,2011-10-27 17:18:01
173721,3,2011-10-01 19:20:50
173721,5,2011-10-01 19:22:52
173721,6,2011-10-10 18:06:09
173721,4,2011-10-10 18:20:04
173721,4,2011-10-11 0:28:29
173724,1,2011-10-01 20:12:27
173724,3,2011-10-01 21:27:08
173724,3,2011-10-03 23:48:20
173730,3,2011-10-01 21:55:31
173730,5,2011-10-01 23:48:39
173730,6,2011-10-19 21:20:05
173730,4,2011-10-19 21:32:57
173730,6,2011-10-20 18:08:56
173730,4,2011-10-20 18:27:48
173730,6,2011-10-20 20:00:47
173730,4,2011-10-20 20:32:33
173730,6,2011-10-21 14:15:05
173730,6,2011-10-21 17:08:21
173733,1,2011-10-01 22:54:56
173736,3,2011-10-01 23:40:09
173736,5,2011-10-04 20:59:22
173736,6,2011-10-13 18:49:09
173736,4,2011-10-13 19:03:37
173736,6,2011-10-18 20:01:37
173739,3,2011-10-01 23:27:27
173739,5,2011-10-02 0:00:21
173739,6,2011-10-13 21:12:26
173739,4,2011-10-14 4:01:47
173739,6,2011-10-15 0:22:55
173742,1,2011-10-01 22:56:22
173742,3,2011-10-01 23:50:01
173742,3,2011-10-14 23:52:09
173745,1,2011-10-01 23:21:27
173745,3,2011-10-01 23:58:47
173745,5,2011-10-08 20:45:59
173748,1,2011-10-01 23:24:17
173748,3,2011-10-01 23:57:08
173748,5,2011-10-02 0:39:20
173748,5,2011-10-04 0:44:24
173751,3,2011-10-01 23:34:03
173751,5,2011-10-07 20:40:20
173751,6,2011-10-11 18:39:37
173754,3,2011-10-01 23:44:41
173754,2,2011-10-14 22:26:59
173754,2,2011-10-14 22:28:41
173760,3,2011-10-02 0:01:45
173760,5,2011-10-08 20:34:58
173760,6,2011-10-14 23:41:11
173763,1,2011-10-02 0:38:43
173766,3,2011-10-02 0:45:56
173766,3,2011-10-07 4:52:12
173775,3,2011-10-03 17:20:05
173775,3,2011-10-03 18:38:04
173778,1,2011-10-03 17:04:57
173781,3,2011-10-03 17:25:12
173784,3,2011-10-03 17:19:46
173784,5,2011-10-12 4:42:59
173784,6,2011-10-19 21:25:05
173784,4,2011-10-19 22:41:13
173784,6,2011-10-28 17:50:08
173784,4,2011-10-28 19:54:32
173784,6,2011-10-31 18:38:48
173784,4,2011-11-01 0:36:47
173784,6,2011-11-11 19:25:50
173784,6,2011-11-15 21:50:36
173787,3,2011-10-03 17:31:09
173787,5,2011-10-03 17:36:45
173787,5,2011-10-20 2:51:57
173790,3,2011-10-03 17:26:12
173790,5,2011-10-03 17:31:22
173790,6,2011-10-08 1:31:10
173790,6,2011-10-10 22:22:43
173793,3,2011-10-03 17:29:52
173793,5,2011-10-03 22:58:24
173793,6,2011-10-18 18:17:36
173793,4,2011-10-18 18:55:09
173793,6,2011-10-18 19:18:19
173793,6,2011-10-18 19:25:11
173796,3,2011-10-03 17:32:18
173796,5,2011-10-11 1:23:27
173796,5,2011-10-11 1:23:56
173799,3,2011-10-03 17:35:35
173799,3,2011-10-05 2:30:30
173802,1,2011-10-03 17:07:20
173805,3,2011-10-03 17:37:47
173805,5,2011-10-03 17:59:31
173805,5,2011-11-03 18:15:16
173811,1,2011-10-03 17:09:15
173811,3,2011-10-03 19:04:49
173811,5,2011-10-03 19:49:51
173811,5,2011-11-03 18:15:25
173814,1,2011-10-03 17:10:52
173814,3,2011-10-03 19:15:49
173817,3,2011-10-03 17:52:40
173817,5,2011-10-03 17:53:29
173817,6,2011-10-11 17:15:48
173823,3,2011-10-03 17:57:34
173823,5,2011-10-03 18:04:14
173823,6,2011-10-12 16:58:20
173823,6,2011-10-13 17:36:24
173826,1,2011-10-03 17:34:55
173826,3,2011-10-03 17:46:31
173826,3,2011-10-03 22:39:28
173829,1,2011-10-03 17:34:55
173829,3,2011-10-03 17:38:50
173835,3,2011-10-03 17:57:13
173835,5,2011-10-03 18:37:01
173835,5,2011-10-18 22:12:46
173841,3,2011-10-03 18:25:27
173841,3,2011-10-04 21:59:22
173844,3,2011-10-03 18:11:17
173844,5,2011-10-10 18:17:49
173844,6,2011-10-11 22:57:09
173847,3,2011-10-03 18:22:08
173847,5,2011-10-10 21:52:48
173847,6,2011-10-12 18:52:13
173856,1,2011-10-03 17:23:52
173856,1,2011-10-03 17:26:39
173859,1,2011-10-03 17:28:44
173859,3,2011-10-03 20:37:08
173859,5,2011-10-03 20:38:46
173859,5,2011-10-11 0:43:55
173862,1,2011-10-03 17:30:10
173868,3,2011-10-03 18:17:33
173868,5,2011-10-11 0:28:12
173868,6,2011-10-26 16:07:39
173871,3,2011-10-03 18:28:37
173871,5,2011-10-05 3:41:00
173871,6,2011-10-14 17:56:18
173871,6,2011-10-14 18:05:57
173880,1,2011-10-03 17:31:47
173880,3,2011-10-03 20:54:18
173880,5,2011-10-03 22:02:13
173880,6,2011-10-28 20:02:13
173880,4,2011-10-28 23:50:05
173880,6,2011-11-04 22:09:47
173889,1,2011-10-03 17:36:33
173898,1,2011-10-03 17:37:07
173898,3,2011-10-03 21:58:22
173898,5,2011-10-11 2:44:19
173898,5,2011-10-14 4:00:48
173901,1,2011-10-03 17:33:46
173904,1,2011-10-03 17:35:23
173913,3,2011-10-03 18:43:52
173913,5,2011-10-03 18:52:28
173913,6,2011-10-12 23:54:05
173913,6,2011-10-13 0:01:06
173916,2,2011-10-03 19:00:29
173916,2,2011-10-03 19:19:30
173919,1,2011-10-03 17:30:25
173919,3,2011-10-03 20:28:21
173919,3,2011-10-04 20:04:02
173925,1,2011-10-03 17:28:17
173925,3,2011-10-03 20:21:41
173925,3,2011-10-03 20:23:42
173928,3,2011-10-03 18:29:11
173928,5,2011-10-03 23:30:11
173928,6,2011-10-31 22:19:02
173928,4,2011-11-01 2:17:03
173928,6,2011-11-09 21:18:51
173928,4,2011-11-09 22:22:22
173928,6,2011-11-29 18:27:33
173934,1,2011-10-03 17:29:09
173937,3,2011-10-03 18:32:58
173937,3,2011-11-02 18:15:09
173940,3,2011-10-03 18:44:53
173940,5,2011-10-10 21:48:25
173940,6,2011-10-12 20:18:36
173940,4,2011-10-12 20:36:15
173940,6,2011-10-13 22:11:33
173940,4,2011-10-13 22:23:57
173940,6,2011-10-14 16:30:29
173943,1,2011-10-03 17:23:43
173943,3,2011-10-03 19:35:58
173943,5,2011-10-11 3:59:57
173943,5,2011-11-03 18:15:32
173946,3,2011-10-03 18:53:08
173946,5,2011-10-03 18:54:08
