CaseID,ActivityID,CompleteTimestamp
1-364285768,1,2010-04-01 00:59:00
1-364285768,1,2010-04-01 01:00:00
1-364285768,2,2010-04-01 01:45:00
1-364285768,1,2010-04-07 00:44:00
1-364285768,2,2010-04-07 00:44:00
1-364285768,1,2010-04-07 00:44:00
1-364285768,3,2010-04-07 00:44:00
1-364285768,2,2010-04-07 00:45:00
1-364285768,1,2010-04-08 20:52:00
1-364285768,2,2010-04-08 20:53:00
1-364285768,1,2010-04-20 19:07:00
1-364285768,4,2010-04-20 19:07:00
1-364285768,1,2012-04-12 01:11:00
1-364285768,4,2012-04-12 01:11:00
1-364285768,1,2012-05-03 19:10:00
1-364285768,3,2012-05-03 19:10:00
1-364285768,5,2012-05-11 09:26:00
1-467153946,1,2011-01-31 20:12:00
1-467153946,1,2011-01-31 20:18:00
1-467153946,2,2011-01-31 20:19:00
1-467153946,1,2011-01-31 21:59:00
1-467153946,6,2011-01-31 23:37:00
1-467153946,2,2011-02-03 17:28:00
1-467153946,1,2011-02-07 21:37:00
1-467153946,7,2011-02-07 21:38:00
1-467153946,1,2011-03-09 20:08:00
1-467153946,7,2011-03-09 20:27:00
1-467153946,1,2011-03-10 20:53:00
1-467153946,4,2011-03-10 20:53:00
1-467153946,1,2011-03-10 21:17:00
1-467153946,6,2011-03-10 21:21:00
1-467153946,8,2011-03-10 23:45:00
1-467153946,4,2011-03-14 16:56:00
1-467153946,1,2011-03-14 16:58:00
1-467153946,8,2011-03-14 16:58:00
1-467153946,1,2011-04-06 01:59:00
1-467153946,2,2011-04-06 02:02:00
1-467153946,1,2011-04-06 18:32:00
1-467153946,4,2011-04-06 19:47:00
1-467153946,1,2011-04-06 19:48:00
1-467153946,6,2011-04-06 20:08:00
1-467153946,1,2011-04-07 21:36:00
1-467153946,8,2011-04-07 22:06:00
1-467153946,1,2011-04-08 22:10:00
1-467153946,8,2011-04-08 22:17:00
1-467153946,2,2011-04-08 22:20:00
1-467153946,1,2011-04-12 23:16:00
1-467153946,1,2011-08-08 23:28:00
1-467153946,4,2011-09-12 19:22:00
1-467153946,1,2011-11-21 22:52:00
1-467153946,7,2011-11-21 22:52:00
1-467153946,2,2012-01-26 00:50:00
1-467153946,1,2012-01-26 00:53:00
1-467153946,2,2012-01-26 00:54:00
1-467153946,1,2012-05-16 01:56:00
1-467153946,3,2012-05-16 01:57:00
1-467153946,5,2012-05-23 09:22:00
1-503573772,1,2011-02-25 01:17:00
1-503573772,1,2011-02-25 01:17:00
1-503573772,2,2011-02-25 01:19:00
1-503573772,1,2011-02-28 22:46:00
1-503573772,2,2011-02-28 22:47:00
1-503573772,1,2011-02-28 22:48:00
1-503573772,2,2011-02-28 22:53:00
1-503573772,1,2011-05-05 02:07:00
1-503573772,2,2012-02-17 23:49:00
1-503573772,1,2012-03-22 01:21:00
1-503573772,1,2012-03-26 19:55:00
1-503573772,2,2012-03-26 19:57:00
1-503573772,1,2012-04-03 23:29:00
1-503573772,8,2012-04-03 23:29:00
1-503573772,1,2012-05-04 16:58:00
1-503573772,3,2012-05-04 16:59:00
1-503573772,5,2012-05-12 09:21:00
1-504538555,1,2011-02-28 23:13:00
1-504538555,1,2011-02-28 23:13:00
1-504538555,2,2011-02-28 23:17:00
1-504538555,1,2011-03-02 00:59:00
1-504538555,2,2011-03-02 01:00:00
1-504538555,1,2011-03-02 03:34:00
1-504538555,4,2011-03-02 03:46:00
1-504538555,1,2011-03-02 16:42:00
1-504538555,2,2011-03-02 16:44:00
1-504538555,1,2011-05-05 02:08:00
1-504538555,2,2012-03-13 19:53:00
1-504538555,1,2012-03-13 20:11:00
1-504538555,2,2012-03-13 20:27:00
1-504538555,1,2012-04-03 23:59:00
1-504538555,7,2012-04-04 23:53:00
1-504538555,1,2012-04-04 23:54:00
1-504538555,1,2012-05-04 16:55:00
1-504538555,3,2012-05-04 16:57:00
1-504538555,5,2012-05-12 09:21:00
1-506071646,1,2011-03-07 19:42:00
1-506071646,1,2011-03-07 19:44:00
1-506071646,1,2011-03-07 19:51:00
1-506071646,2,2011-03-07 19:52:00
1-506071646,1,2011-03-07 20:48:00
1-506071646,2,2011-03-07 20:55:00
1-506071646,1,2011-03-07 21:03:00
1-506071646,6,2011-03-07 21:04:00
1-506071646,1,2011-03-07 22:22:00
1-506071646,2,2011-03-07 22:24:00
1-506071646,1,2011-03-07 23:13:00
1-506071646,2,2011-03-07 23:13:00
1-506071646,1,2011-03-08 15:53:00
1-506071646,2,2011-03-08 15:55:00
1-506071646,1,2011-03-08 18:16:00
1-506071646,2,2011-03-08 18:18:00
1-506071646,1,2011-03-08 18:20:00
1-506071646,6,2011-03-08 18:22:00
1-506071646,1,2011-03-09 16:16:00
1-506071646,2,2011-03-09 16:17:00
1-506071646,1,2011-03-10 02:03:00
1-506071646,2,2011-03-10 02:05:00
1-506071646,1,2011-03-10 21:29:00
1-506071646,6,2011-03-10 21:47:00
1-506071646,1,2011-03-14 19:19:00
1-506071646,4,2011-03-14 19:28:00
1-506071646,1,2011-03-14 19:28:00
1-506071646,2,2011-03-14 19:29:00
1-506071646,1,2011-03-14 19:30:00
1-506071646,2,2011-03-14 19:37:00
1-506071646,1,2011-03-15 19:41:00
1-506071646,2,2011-03-15 19:53:00
1-506071646,1,2011-03-15 20:00:00
1-506071646,2,2011-03-15 20:12:00
1-506071646,1,2011-03-15 20:21:00
1-506071646,2,2011-03-15 20:23:00
1-506071646,1,2011-03-15 20:27:00
1-506071646,6,2011-03-15 20:33:00
1-506071646,1,2011-03-15 21:38:00
1-506071646,6,2011-03-15 23:39:00
1-506071646,1,2011-03-23 19:13:00
1-506071646,1,2011-03-23 19:13:00
1-506071646,6,2011-03-23 19:17:00
1-506071646,1,2011-03-24 19:12:00
1-506071646,2,2011-03-24 19:13:00
1-506071646,1,2011-03-24 22:20:00
1-506071646,2,2011-03-24 22:20:00
1-506071646,1,2011-03-25 02:50:00
1-506071646,2,2011-03-25 02:54:00
1-506071646,1,2011-05-05 02:36:00
1-506071646,2,2011-05-23 22:52:00
1-506071646,1,2011-05-24 23:02:00
1-506071646,6,2011-05-25 01:16:00
1-506071646,1,2011-05-26 00:25:00
1-506071646,1,2011-05-26 22:52:00
1-506071646,6,2011-05-27 00:20:00
1-506071646,1,2011-05-27 00:21:00
1-506071646,2,2011-05-27 00:21:00
1-506071646,1,2011-07-20 23:55:00
1-506071646,1,2012-05-04 17:00:00
1-506071646,3,2012-05-04 17:01:00
1-506071646,5,2012-05-12 09:21:00
1-512795200,1,2011-04-05 00:51:00
1-512795200,1,2011-04-05 00:52:00
1-512795200,2,2011-04-05 00:58:00
1-512795200,1,2011-04-05 01:11:00
1-512795200,4,2011-04-05 01:11:00
1-512795200,1,2011-04-05 01:18:00
1-512795200,6,2011-04-05 01:24:00
1-512795200,3,2011-04-08 19:42:00
1-512795200,4,2011-04-12 02:53:00
1-512795200,1,2011-04-12 02:56:00
1-512795200,2,2011-04-12 02:57:00
1-512795200,1,2011-04-12 16:21:00
1-512795200,4,2011-04-12 16:22:00
1-512795200,1,2011-04-12 17:12:00
1-512795200,6,2011-04-12 17:12:00
1-512795200,1,2011-05-31 18:39:00
1-512795200,6,2011-05-31 18:39:00
1-512795200,4,2011-10-28 23:22:00
1-512795200,1,2011-10-31 17:06:00
1-512795200,6,2011-10-31 17:06:00
1-512795200,4,2011-12-09 20:24:00
1-512795200,1,2011-12-10 00:00:00
1-512795200,6,2011-12-10 00:00:00
1-512795200,1,2012-03-12 19:03:00
1-512795200,6,2012-03-12 19:03:00
1-512795200,4,2012-03-19 22:15:00
1-512795200,1,2012-03-19 23:21:00
1-512795200,4,2012-03-19 23:23:00
1-512795200,1,2012-03-20 18:32:00
1-512795200,6,2012-03-20 18:32:00
1-512795200,3,2012-05-03 00:01:00
1-512795200,5,2012-05-10 09:20:00
1-516553982,1,2011-04-14 00:04:00
1-516553982,1,2011-04-14 00:05:00
1-516553982,2,2011-04-14 00:12:00
1-516553982,1,2011-04-19 22:23:00
1-516553982,2,2011-04-19 22:27:00
1-516553982,1,2011-04-19 22:57:00
1-516553982,6,2011-04-19 23:01:00
1-516553982,1,2011-04-22 19:29:00
1-516553982,6,2011-04-22 19:30:00
1-516553982,1,2011-04-28 02:38:00
1-516553982,2,2011-04-28 02:42:00
1-516553982,1,2011-04-28 19:06:00
1-516553982,2,2011-04-28 19:07:00
1-516553982,1,2011-04-28 20:02:00
1-516553982,2,2011-04-28 20:08:00
1-516553982,1,2011-05-11 23:31:00
1-516553982,2,2011-07-27 22:28:00
1-516553982,1,2011-08-17 01:42:00
1-516553982,1,2012-05-04 17:01:00
1-516553982,3,2012-05-04 17:02:00
1-516553982,5,2012-05-12 09:21:00
1-522528740,1,2011-05-03 17:42:00
