CaseID,ActivityID,CompleteTimestamp
2742737,23,2011-06-01 08:00:00
2742737,25,2011-06-16 20:17:11
2742737,26,2011-06-16 20:17:14
2742737,29,2011-06-16 20:17:16
2742737,30,2011-06-16 20:17:17
2742737,31,2011-06-16 20:17:22
2742737,32,2011-06-16 20:17:24
2760925,23,2010-10-05 08:00:00
2760925,25,2010-10-07 22:57:14
2771451,23,2010-10-06 08:00:00
2771451,56,2010-10-19 08:00:00
2771451,28,2010-11-18 09:00:00
2771451,245,2010-11-18 09:00:00
2771451,248,2010-11-22 09:00:00
2771451,36,2010-11-24 09:00:00
2771451,41,2010-11-25 09:00:00
2771451,56,2010-11-26 09:00:00
2771451,25,2010-12-01 01:21:56
2771451,26,2010-12-01 01:22:02
2771451,27,2010-12-01 01:22:26
2771451,29,2010-12-01 01:22:44
2771451,32,2010-12-01 01:50:14
2771451,35,2010-12-01 01:50:30
2771451,202,2010-12-01 01:50:50
2771451,41,2010-12-01 01:50:56
2771451,49,2010-12-01 01:51:22
2771451,30,2010-12-01 01:51:36
2771451,189,2010-12-01 01:51:49
2771451,47,2010-12-01 01:52:23
2771451,48,2010-12-01 01:52:28
2771451,53,2010-12-01 01:53:02
2771451,55,2010-12-01 01:53:04
2771451,66,2010-12-01 01:53:24
2771451,242,2010-12-01 01:54:00
2771451,244,2010-12-01 01:54:10
2771451,247,2010-12-01 01:55:36
2771451,274,2010-12-01 19:52:59
2771451,49,2010-12-01 19:53:03
2771451,47,2010-12-01 19:53:11
2771451,48,2010-12-01 19:53:14
2771451,53,2010-12-01 19:53:19
2771451,55,2010-12-01 19:53:21
2771451,66,2010-12-01 19:54:00
2771451,67,2010-12-01 19:54:00
2771451,75,2010-12-01 19:54:05
2771451,73,2010-12-01 19:54:08
2771451,74,2010-12-01 19:54:12
2771451,278,2010-12-01 19:54:17
2771451,84,2010-12-01 19:54:19
2771451,83,2010-12-01 19:54:19
2771451,85,2010-12-01 19:54:22
2771451,92,2010-12-01 19:54:39
2771451,110,2010-12-01 19:54:45
2771451,111,2010-12-01 19:54:47
2771451,113,2010-12-01 19:54:47
2771451,116,2010-12-06 09:00:00
2771451,136,2010-12-06 09:00:00
2771451,114,2010-12-06 18:06:21
2771451,131,2010-12-06 18:09:03
2771451,134,2010-12-06 19:00:26
2771451,143,2010-12-06 19:03:59
2771451,145,2010-12-15 09:00:00
2782209,23,2010-10-06 08:00:00
2782209,25,2010-10-12 17:54:56
2782209,26,2010-10-12 17:56:10
2782209,29,2010-10-12 17:56:15
2782209,32,2010-10-12 17:56:28
2782209,36,2010-10-18 08:00:00
2782209,35,2010-10-18 23:56:37
2782209,30,2010-10-18 23:56:54
2782209,41,2010-10-18 23:57:23
2782209,41,2010-10-27 08:00:00
2782209,47,2010-11-15 18:03:28
2782209,49,2010-11-15 18:04:27
2782209,189,2010-11-15 18:04:43
2782209,202,2010-11-15 18:05:04
2782209,48,2010-11-15 18:20:23
2782209,53,2010-11-15 20:47:28
2782209,55,2010-11-15 20:53:09
2782209,66,2010-11-15 20:54:18
2782209,67,2010-11-15 20:54:19
2782209,75,2010-11-15 20:54:26
2782209,73,2010-11-15 20:54:34
2782209,74,2010-11-15 20:54:39
2782209,278,2010-11-15 20:55:18
2782209,83,2010-11-15 20:56:17
2782209,84,2010-11-15 20:56:18
2782209,85,2010-11-15 20:56:23
2782209,92,2010-11-15 21:06:58
2782209,110,2010-11-15 21:07:03
2782209,111,2010-11-15 21:07:07
2782209,113,2010-11-15 21:07:09
2782209,114,2010-11-15 21:20:39
2782209,116,2010-11-16 09:00:00
2782209,131,2010-11-16 19:58:25
2782209,134,2010-11-16 20:30:00
2782209,143,2010-11-16 20:38:31
2782209,56,2010-11-18 09:00:00
2782209,136,2010-11-19 09:00:00
2782209,145,2010-11-24 09:00:00
2783345,23,2010-10-07 08:00:00
2783345,41,2010-10-11 08:00:00
2783345,56,2010-10-11 08:00:00
2783345,36,2010-10-11 08:00:00
2783345,56,2010-10-19 08:00:00
2783345,245,2010-11-17 09:00:00
2783345,248,2010-11-24 09:00:00
2783345,25,2010-12-01 19:27:11
2783345,26,2010-12-01 19:27:17
2783345,29,2010-12-01 19:27:23
2783345,32,2010-12-01 19:27:30
2783345,35,2010-12-01 19:27:32
2783345,202,2010-12-01 19:27:48
2783345,41,2010-12-01 19:27:52
2783345,47,2010-12-01 19:28:03
2783345,48,2010-12-01 19:28:06
2783345,49,2010-12-01 19:28:14
2783345,53,2010-12-01 19:28:21
2783345,55,2010-12-01 19:28:25
2783345,66,2010-12-01 19:30:11
2783345,242,2010-12-01 19:30:35
2783345,244,2010-12-01 19:30:39
2783345,247,2010-12-01 19:33:03
2783345,274,2010-12-01 19:36:08
2783345,49,2010-12-01 19:36:21
2783345,47,2010-12-01 19:36:39
2783345,48,2010-12-01 19:36:43
2783345,53,2010-12-01 19:36:55
2783345,55,2010-12-01 19:37:01
2783345,66,2010-12-01 19:37:29
2783345,67,2010-12-01 19:37:29
2783345,75,2010-12-01 19:37:35
2783345,73,2010-12-01 19:37:45
2783345,74,2010-12-01 19:37:49
2783345,278,2010-12-01 19:37:57
2783345,84,2010-12-01 19:38:00
2783345,83,2010-12-01 19:38:00
2783345,85,2010-12-01 19:38:04
2783345,189,2010-12-01 19:38:28
2783345,30,2010-12-01 19:38:34
2783345,92,2010-12-01 19:38:59
2783345,110,2010-12-01 19:39:05
2783345,111,2010-12-01 19:39:10
2783345,113,2010-12-01 19:39:10
2783345,136,2010-12-06 09:00:00
2783345,116,2010-12-06 09:00:00
2783345,114,2010-12-06 21:19:25
2783345,131,2010-12-06 21:19:37
2783345,134,2010-12-06 21:30:23
2783345,143,2010-12-06 21:30:41
2783345,145,2010-12-15 09:00:00
2794023,23,2010-10-12 08:00:00
2794023,25,2010-10-14 21:42:23
2794023,26,2010-10-14 21:43:34
2794023,29,2010-10-14 21:43:39
2794023,32,2010-10-14 21:43:49
2794023,36,2010-10-15 08:00:00
2794023,35,2010-10-15 20:53:09
2794023,41,2010-10-15 20:54:46
2794023,49,2010-10-15 20:55:28
2794023,30,2010-10-15 20:55:41
2794023,41,2010-10-27 08:00:00
2794023,204,2010-11-29 09:00:00
2794023,202,2010-11-29 21:31:49
2794023,203,2010-11-29 21:31:51
2794023,214,2010-11-29 21:33:14
2794023,216,2010-11-29 21:33:20
2794023,217,2010-11-29 21:55:44
2794023,223,2010-11-29 21:55:51
2794023,224,2010-11-30 09:00:00
2794023,192,2010-12-07 09:00:00
2794023,196,2010-12-07 09:00:00
2794023,198,2010-12-07 09:00:00
2794023,189,2010-12-07 20:21:50
2794023,195,2010-12-07 20:22:14
2794023,197,2010-12-07 20:22:30
2794023,201,2010-12-07 20:30:08
2794023,199,2010-12-07 20:30:08
2797217,28,2010-10-12 08:00:00
2797217,23,2010-10-12 08:00:00
2797217,36,2010-10-15 08:00:00
2797217,56,2010-10-15 08:00:00
2797217,25,2010-10-15 18:21:40
2797217,26,2010-10-15 18:21:48
2797217,27,2010-10-15 18:22:07
2797217,29,2010-10-15 18:23:54
2797217,32,2010-10-15 18:25:19
2797217,35,2010-10-15 19:33:01
2797217,202,2010-10-15 19:34:43
2797217,41,2010-10-15 19:45:42
2797217,49,2010-10-15 19:47:24
2797217,30,2010-10-15 20:02:19
2797217,47,2010-10-25 23:21:50
2797217,189,2010-10-25 23:22:03
2797217,48,2010-10-25 23:22:21
2797217,53,2010-10-25 23:22:29
2797217,55,2010-10-25 23:22:32
2797217,66,2010-10-25 23:22:59
2797217,67,2010-10-25 23:22:59
2797217,75,2010-10-25 23:23:05
2797217,73,2010-10-25 23:23:15
2797217,74,2010-10-25 23:23:17
2797217,278,2010-10-25 23:23:23
2797217,83,2010-10-25 23:23:25
2797217,84,2010-10-25 23:23:25
2797217,85,2010-10-25 23:23:30
2797217,92,2010-10-25 23:23:39
2797217,110,2010-10-25 23:23:45
2797217,111,2010-10-25 23:23:49
2797217,113,2010-10-25 23:23:49
2797217,114,2010-10-25 23:23:52
2797217,131,2010-10-25 23:24:22
2797217,134,2010-10-25 23:34:54
2797217,143,2010-10-25 23:35:05
2797217,116,2010-10-26 08:00:00
2797217,41,2010-10-27 08:00:00
2797217,136,2010-11-01 09:00:00
2797217,145,2010-11-03 09:00:00
2797217,1,2011-01-18 00:36:35
2797217,21,2011-01-18 00:37:23
2797217,154,2011-01-18 00:38:06
2799076,23,2010-10-13 08:00:00
2799076,25,2010-10-19 20:47:20
2802160,23,2010-10-13 08:00:00
2802160,36,2010-10-18 08:00:00
2802160,25,2010-10-18 21:54:50
2802160,26,2010-10-18 21:55:00
2802160,29,2010-10-18 21:55:10
2802160,32,2010-10-18 21:55:20
2802160,35,2010-10-18 22:01:02
2802160,41,2010-10-18 22:07:21
2802160,30,2010-10-18 22:09:49
2802160,56,2010-10-19 08:00:00
2802160,41,2010-10-27 08:00:00
2802160,245,2010-11-18 09:00:00
2802160,47,2010-12-07 21:45:20
2802160,48,2010-12-07 21:45:27
2802160,49,2010-12-07 21:45:41
2802160,53,2010-12-07 21:45:46
2802160,55,2010-12-07 21:45:53
2802160,66,2010-12-07 21:46:24
2802160,242,2010-12-07 21:46:56
2802160,244,2010-12-07 21:46:59
2802160,189,2010-12-24 00:41:04
2814003,23,2010-10-19 08:00:00
2814003,56,2010-11-01 09:00:00
2814003,36,2010-11-01 09:00:00
2814003,41,2010-11-03 09:00:00
2814003,25,2010-11-08 20:24:43
2814003,26,2010-11-08 20:24:48
2814003,29,2010-11-08 20:24:53
2814003,32,2010-11-08 20:24:58
2814003,35,2010-11-08 20:25:02
2814003,202,2010-11-08 20:25:17
2814003,41,2010-11-08 20:26:31
2814003,47,2010-11-08 20:27:03
2814003,49,2010-11-08 20:27:15
2814003,30,2010-11-08 20:27:27
2814003,189,2010-11-08 20:27:35
2814003,48,2010-11-08 20:27:42
2814003,53,2010-11-08 20:27:52
2814003,55,2010-11-08 20:28:06
2814003,66,2010-11-08 20:29:02
2814003,67,2010-11-08 20:29:02
2814003,75,2010-11-08 20:29:11
2814003,73,2010-11-08 20:29:43
2814003,74,2010-11-08 20:29:45
2814003,278,2010-11-08 20:29:53
2814003,83,2010-11-08 20:29:57
2814003,84,2010-11-08 20:29:57
2814003,85,2010-11-08 20:30:03
2814003,92,2010-11-08 20:30:20
2814003,110,2010-11-08 20:30:26
2814003,111,2010-11-08 20:30:31
2814003,113,2010-11-08 20:30:32
2814003,114,2010-11-08 20:30:42
2814003,131,2010-11-08 20:31:21
2814003,134,2010-11-08 20:31:30
2814003,143,2010-11-08 20:34:50
2814003,116,2010-11-09 09:00:00
2814003,136,2010-11-15 09:00:00
2814003,145,2010-11-17 09:00:00
2814003,1,2011-01-07 20:55:45
2814003,21,2011-01-07 20:55:51
2814003,154,2011-01-11 00:16:12
