caseID,ActivityID,completeTime
2742737,23,2011-06-01 08:00:00
2742737,25,2011-06-16 20:17:11
2742737,26,2011-06-16 20:17:14
2760925,23,2010-10-05 08:00:00
2760925,25,2010-10-07 22:57:14
2771451,23,2010-10-06 08:00:00
2771451,28,2010-11-18 09:00:00
2771451,36,2010-11-24 09:00:00
2771451,25,2010-12-01 01:21:56
2771451,26,2010-12-01 01:22:02
2771451,27,2010-12-01 01:22:26
2771451,35,2010-12-01 01:50:30
2771451,189,2010-12-01 01:51:49
2771451,47,2010-12-01 01:52:23
2771451,48,2010-12-01 01:52:28
2771451,53,2010-12-01 01:53:02
2771451,66,2010-12-01 01:53:24
2771451,47,2010-12-01 19:53:11
2771451,48,2010-12-01 19:53:14
2771451,53,2010-12-01 19:53:19
2771451,66,2010-12-01 19:54:00
2771451,278,2010-12-01 19:54:17
2771451,84,2010-12-01 19:54:19
2771451,83,2010-12-01 19:54:19
2771451,85,2010-12-01 19:54:22
2771451,92,2010-12-01 19:54:39
2771451,111,2010-12-01 19:54:47
2771451,113,2010-12-01 19:54:47
2771451,136,2010-12-06 09:00:00
2771451,114,2010-12-06 18:06:21
2771451,134,2010-12-06 19:00:26
2782209,23,2010-10-06 08:00:00
2782209,25,2010-10-12 17:54:56
2782209,26,2010-10-12 17:56:10
2782209,36,2010-10-18 08:00:00
2782209,35,2010-10-18 23:56:37
2782209,47,2010-11-15 18:03:28
2782209,189,2010-11-15 18:04:43
2782209,48,2010-11-15 18:20:23
2782209,53,2010-11-15 20:47:28
2782209,66,2010-11-15 20:54:18
2782209,278,2010-11-15 20:55:18
2782209,83,2010-11-15 20:56:17
2782209,84,2010-11-15 20:56:18
2782209,85,2010-11-15 20:56:23
2782209,92,2010-11-15 21:06:58
2782209,111,2010-11-15 21:07:07
2782209,113,2010-11-15 21:07:09
2782209,114,2010-11-15 21:20:39
2782209,134,2010-11-16 20:30:00
2782209,136,2010-11-19 09:00:00
2783345,23,2010-10-07 08:00:00
2783345,36,2010-10-11 08:00:00
2783345,25,2010-12-01 19:27:11
2783345,26,2010-12-01 19:27:17
2783345,35,2010-12-01 19:27:32
2783345,47,2010-12-01 19:28:03
2783345,48,2010-12-01 19:28:06
2783345,53,2010-12-01 19:28:21
2783345,66,2010-12-01 19:30:11
2783345,47,2010-12-01 19:36:39
2783345,48,2010-12-01 19:36:43
2783345,53,2010-12-01 19:36:55
2783345,66,2010-12-01 19:37:29
2783345,278,2010-12-01 19:37:57
2783345,84,2010-12-01 19:38:00
2783345,83,2010-12-01 19:38:00
2783345,85,2010-12-01 19:38:04
2783345,189,2010-12-01 19:38:28
2783345,92,2010-12-01 19:38:59
2783345,111,2010-12-01 19:39:10
2783345,113,2010-12-01 19:39:10
2783345,136,2010-12-06 09:00:00
2783345,114,2010-12-06 21:19:25
2783345,134,2010-12-06 21:30:23
2794023,23,2010-10-12 08:00:00
2794023,25,2010-10-14 21:42:23
2794023,26,2010-10-14 21:43:34
2794023,36,2010-10-15 08:00:00
2794023,35,2010-10-15 20:53:09
2794023,189,2010-12-07 20:21:50
2797217,28,2010-10-12 08:00:00
2797217,23,2010-10-12 08:00:00
2797217,36,2010-10-15 08:00:00
2797217,25,2010-10-15 18:21:40
2797217,26,2010-10-15 18:21:48
2797217,27,2010-10-15 18:22:07
2797217,35,2010-10-15 19:33:01
2797217,47,2010-10-25 23:21:50
2797217,189,2010-10-25 23:22:03
2797217,48,2010-10-25 23:22:21
2797217,53,2010-10-25 23:22:29
2797217,66,2010-10-25 23:22:59
2797217,278,2010-10-25 23:23:23
2797217,83,2010-10-25 23:23:25
2797217,84,2010-10-25 23:23:25
2797217,85,2010-10-25 23:23:30
2797217,92,2010-10-25 23:23:39
2797217,111,2010-10-25 23:23:49
2797217,113,2010-10-25 23:23:49
2797217,114,2010-10-25 23:23:52
2797217,134,2010-10-25 23:34:54
2797217,136,2010-11-01 09:00:00
2799076,23,2010-10-13 08:00:00
2799076,25,2010-10-19 20:47:20
2802160,23,2010-10-13 08:00:00
2802160,36,2010-10-18 08:00:00
2802160,25,2010-10-18 21:54:50
2802160,26,2010-10-18 21:55:00
2802160,35,2010-10-18 22:01:02
2802160,47,2010-12-07 21:45:20
2802160,48,2010-12-07 21:45:27
2802160,53,2010-12-07 21:45:46
2802160,66,2010-12-07 21:46:24
2802160,189,2010-12-24 00:41:04
2814003,23,2010-10-19 08:00:00
2814003,36,2010-11-01 09:00:00
2814003,25,2010-11-08 20:24:43
2814003,26,2010-11-08 20:24:48
2814003,35,2010-11-08 20:25:02
2814003,47,2010-11-08 20:27:03
2814003,189,2010-11-08 20:27:35
2814003,48,2010-11-08 20:27:42
2814003,53,2010-11-08 20:27:52
2814003,66,2010-11-08 20:29:02
2814003,278,2010-11-08 20:29:53
2814003,83,2010-11-08 20:29:57
2814003,84,2010-11-08 20:29:57
2814003,85,2010-11-08 20:30:03
2814003,92,2010-11-08 20:30:20
2814003,111,2010-11-08 20:30:31
2814003,113,2010-11-08 20:30:32
2814003,114,2010-11-08 20:30:42
2814003,134,2010-11-08 20:31:30
2814003,136,2010-11-15 09:00:00
2817543,23,2010-10-22 08:00:00
2817543,28,2010-10-25 08:00:00
2817543,25,2010-10-25 17:33:31
2817543,26,2010-10-25 17:33:50
2817543,27,2010-10-25 17:37:23
2817543,35,2010-11-02 18:06:18
2817543,36,2010-11-04 09:00:00
2817543,47,2010-12-09 21:13:44
2817543,189,2010-12-09 21:22:14
2817543,48,2010-12-09 21:22:26
2817543,53,2010-12-09 21:22:40
2817543,66,2011-01-10 21:50:32
2817543,47,2011-03-04 21:30:14
2817543,48,2011-03-04 21:30:16
2817543,53,2011-03-04 21:30:27
2817543,66,2011-03-04 21:31:47
2817543,278,2011-03-04 21:32:10
2817543,84,2011-03-04 21:32:15
2817543,83,2011-03-04 21:32:15
2817543,85,2011-03-04 21:32:18
2817543,111,2011-05-12 19:40:31
2817543,113,2011-05-12 19:40:31
2817543,114,2011-05-12 19:41:28
2817543,134,2011-05-12 23:01:02
2817543,136,2011-05-16 08:00:00
2824783,23,2010-10-27 08:00:00
2824783,25,2010-10-28 23:34:42
2824783,26,2010-10-28 23:34:57
2824783,27,2011-07-08 18:54:08
2824783,28,2011-07-08 18:54:08
2825088,23,2010-10-26 08:00:00
2825088,25,2010-10-28 23:50:31
2825088,26,2010-10-28 23:50:42
2825088,27,2012-03-29 18:35:29
2825088,28,2012-03-29 18:35:29
2825088,167,2012-03-29 18:35:35
2825088,179,2012-03-29 18:35:38
2825088,35,2012-03-29 18:35:40
2825088,36,2012-03-29 18:35:40
2825088,189,2012-03-29 18:35:46
2825088,47,2012-03-29 18:36:03
2825088,48,2012-03-29 18:36:04
2830183,23,2010-10-22 08:00:00
2830183,36,2010-11-02 09:00:00
2830183,25,2010-11-02 23:41:01
2830183,26,2010-11-02 23:41:08
2830183,35,2010-11-02 23:46:26
2830183,47,2010-12-09 01:44:58
2830183,48,2010-12-09 01:45:00
2830183,53,2010-12-09 01:45:11
2830183,66,2010-12-09 01:45:32
2830183,278,2010-12-09 01:45:48
2830183,84,2010-12-09 01:45:49
2830183,83,2010-12-09 01:45:49
2830183,85,2010-12-09 01:45:52
2830183,189,2010-12-14 21:21:48
2830183,92,2010-12-14 21:22:03
2830183,111,2010-12-14 21:22:12
2830183,113,2010-12-14 21:22:12
2830183,114,2010-12-14 21:22:20
2830183,134,2010-12-14 21:23:35
2831567,23,2010-10-25 08:00:00
2831567,36,2010-11-02 09:00:00
2831567,25,2010-11-02 20:44:58
2831567,26,2010-11-02 20:45:04
2831567,35,2010-11-02 20:52:09
2831567,47,2010-12-07 20:23:55
2831567,48,2010-12-07 20:23:57
2831567,53,2010-12-07 20:24:09
2831567,66,2010-12-07 20:26:43
2831567,278,2010-12-07 20:27:04
2831567,83,2010-12-07 20:27:06
2831567,84,2010-12-07 20:27:06
2831567,85,2010-12-07 20:27:11
2831567,189,2010-12-07 21:59:01
2831567,92,2010-12-07 21:59:19
2831567,111,2010-12-07 21:59:27
2831567,113,2010-12-07 21:59:27
2831567,114,2010-12-07 21:59:30
2831567,134,2010-12-07 23:19:56
2831567,136,2010-12-10 09:00:00
2832460,23,2010-11-01 09:00:00
2832460,36,2010-11-02 09:00:00
2832460,25,2010-11-02 23:03:34
2832460,26,2010-11-02 23:03:46
2832460,35,2010-11-02 23:06:24
2832460,47,2010-12-23 19:52:58
2832460,48,2011-01-26 03:58:38
2832460,53,2011-01-26 03:59:05
2832460,66,2011-01-26 03:59:39
2832460,278,2011-01-26 04:00:18
2832460,83,2011-01-26 04:00:59
2832460,84,2011-01-26 04:00:59
2832460,85,2011-01-26 04:01:05
2832460,92,2011-01-26 04:01:14
2832460,111,2011-01-26 04:01:19
2832460,136,2011-02-01 09:00:00
2832460,189,2011-02-02 00:17:44
2832460,113,2011-02-02 00:18:03
2832460,114,2011-02-02 00:18:05
2832460,134,2011-02-02 00:18:21
2833073,23,2010-10-25 08:00:00
2833073,36,2010-11-02 09:00:00
2833073,25,2010-11-02 23:47:11
2833073,26,2010-11-02 23:47:21
2833073,35,2010-11-02 23:50:28
2833073,47,2010-12-09 02:10:02
2833073,48,2010-12-09 02:10:03
2833073,53,2010-12-09 02:10:11
2833073,66,2010-12-09 02:10:23
2833073,278,2010-12-09 02:11:01
2833073,83,2010-12-09 02:11:02
2833073,84,2010-12-09 02:11:03
2833073,85,2010-12-09 02:11:05
2833073,189,2010-12-14 23:02:47
2833073,92,2010-12-14 23:03:21
2833073,111,2010-12-14 23:03:29
2833073,113,2010-12-14 23:03:30
2833073,114,2010-12-14 23:03:34
2833073,134,2010-12-14 23:06:17
2838476,23,2010-10-26 08:00:00
2838476,36,2010-11-04 09:00:00
2838476,25,2010-11-04 21:17:57
2838476,26,2010-11-04 21:18:04
2838476,35,2010-11-04 21:24:25
2838476,47,2010-11-05 00:26:31
2838476,189,2010-12-13 22:03:58
2838476,48,2010-12-13 22:04:08
2838476,53,2010-12-13 22:04:23
2838476,66,2010-12-13 22:05:07
2838476,278,2010-12-13 22:05:21
2838476,83,2010-12-13 22:05:24
2838476,84,2010-12-13 22:05:24
2838476,85,2010-12-13 22:05:28
2838476,92,2010-12-14 22:07:08
2838476,111,2010-12-14 22:07:27
2838476,113,2010-12-14 22:07:27
2838476,114,2010-12-14 22:08:09
2838476,134,2010-12-14 22:11:05
2839858,23,2010-11-02 09:00:00
2839858,36,2010-11-04 09:00:00
2839858,25,2010-11-05 00:04:34
2839858,26,2010-11-05 00:04:49
2839858,35,2010-11-05 00:12:35
2839858,189,2010-11-05 00:21:17
2839858,47,2010-11-05 00:21:37
2839858,48,2010-11-29 20:20:57
2839858,53,2010-11-29 20:21:16
2839858,66,2010-11-29 20:38:13
2839858,278,2010-11-29 20:38:40
