CaseID,ActivityID,CompleteTimestamp
2,1,2012-04-03 16:55:38
2,8,2012-04-03 16:55:53
2,6,2012-04-05 17:15:52
3,1,2010-10-29 18:14:06
3,8,2010-11-04 01:16:11
3,6,2010-11-04 01:21:17
4,1,2010-12-15 23:31:53
4,8,2010-12-16 17:01:07
4,6,2010-12-16 17:08:19
5,1,2012-04-03 21:08:32
5,8,2012-04-03 21:45:33
5,6,2012-04-03 21:47:22
5,8,2012-04-03 22:15:02
5,6,2012-04-04 00:07:28
6,1,2011-10-25 23:13:58
6,8,2011-10-25 23:58:55
6,6,2011-10-26 17:54:46
8,1,2012-07-05 16:30:32
8,8,2012-07-05 17:25:45
8,6,2012-07-05 17:44:46
9,3,2010-05-07 21:02:21
9,1,2010-05-07 21:02:34
9,8,2010-05-24 18:26:28
9,6,2010-05-25 23:35:44
10,1,2010-02-10 17:50:20
10,8,2010-03-19 17:47:06
10,6,2010-03-19 17:47:13
11,1,2011-12-22 00:24:41
11,8,2011-12-22 00:25:34
11,6,2011-12-22 18:55:43
14,1,2011-07-05 21:47:08
14,8,2011-07-05 21:47:22
14,6,2011-07-05 21:52:37
16,1,2012-02-22 23:16:52
16,8,2012-02-23 01:14:07
16,8,2012-02-23 01:23:57
16,6,2012-02-23 18:47:38
17,1,2011-10-14 15:10:47
17,8,2011-11-03 01:17:52
17,6,2011-11-09 22:31:37
19,1,2010-07-07 15:54:04
19,8,2010-07-09 18:10:52
19,6,2010-07-09 18:11:18
21,1,2011-01-15 00:15:21
21,8,2011-01-27 17:06:37
21,6,2011-01-27 19:19:15
22,1,2012-07-23 15:49:04
22,8,2012-07-23 15:49:14
22,9,2012-07-23 16:51:59
22,6,2012-08-27 18:05:23
24,1,2010-04-27 17:49:56
24,8,2010-06-08 19:06:56
24,6,2010-06-08 22:46:16
25,1,2010-12-30 18:27:17
25,8,2010-12-30 22:14:04
25,6,2010-12-31 00:16:35
26,1,2011-03-31 15:28:47
26,8,2011-03-31 15:31:59
26,9,2011-03-31 16:39:41
26,8,2011-03-31 19:00:28
26,6,2011-03-31 19:00:41
27,1,2011-11-24 23:02:16
27,8,2011-11-24 23:02:35
27,6,2011-12-12 18:04:47
29,1,2012-07-30 18:07:32
29,8,2012-07-30 18:07:40
29,6,2012-07-30 20:29:40
30,1,2011-01-21 18:47:20
30,8,2011-02-07 18:19:45
30,6,2011-02-10 18:01:20
32,1,2011-04-27 15:38:44
32,8,2011-04-27 20:46:13
32,6,2011-04-28 16:18:08
35,1,2012-01-18 17:15:30
35,6,2012-01-18 18:46:37
36,1,2011-06-29 18:06:48
36,8,2011-06-30 20:58:23
36,6,2011-07-05 15:32:43
37,1,2011-02-10 20:13:07
37,8,2011-02-10 20:13:33
37,6,2011-02-11 00:20:02
37,6,2011-03-02 22:23:58
37,8,2011-03-02 22:24:07
37,9,2011-03-03 00:27:52
37,8,2011-03-04 18:37:50
37,6,2011-03-04 18:37:55
38,1,2012-03-20 16:57:45
38,8,2012-03-20 16:58:15
38,6,2012-03-20 17:18:56
40,1,2012-08-09 20:13:03
40,8,2012-08-09 20:13:29
40,6,2012-08-09 20:46:00
41,1,2010-12-14 19:44:26
41,8,2010-12-14 19:44:57
41,6,2010-12-14 19:45:12
42,1,2011-06-16 20:23:39
42,8,2011-06-16 20:51:05
42,6,2011-06-16 21:39:51
43,1,2012-04-10 16:56:32
43,8,2012-04-10 17:27:27
43,6,2012-04-10 18:53:28
44,1,2010-11-30 01:09:19
44,8,2010-11-30 01:19:59
44,6,2010-11-30 01:20:51
45,1,2012-01-20 23:08:14
45,8,2012-01-25 20:46:19
45,6,2012-03-02 19:40:59
47,1,2011-05-25 17:48:18
47,8,2011-05-25 17:48:43
47,6,2011-05-30 23:04:34
48,3,2010-12-01 22:42:59
48,1,2010-12-02 23:07:33
48,8,2010-12-02 23:07:41
48,6,2010-12-02 23:08:33
49,1,2011-11-25 23:33:54
49,8,2011-11-25 23:47:48
49,9,2011-11-29 23:47:35
49,6,2011-12-03 01:25:57
50,1,2012-01-16 19:53:01
50,8,2012-01-16 19:59:51
50,6,2012-01-17 01:37:54
50,6,2012-01-17 01:37:55
51,1,2012-06-13 21:55:36
51,8,2012-06-14 15:07:06
51,9,2012-06-15 15:16:27
51,6,2012-07-02 17:41:04
52,1,2012-07-26 23:18:26
52,8,2012-07-26 23:18:35
52,6,2012-07-27 18:46:28
53,1,2010-10-14 21:53:13
53,8,2010-10-15 21:02:36
53,9,2010-10-28 23:12:55
53,9,2010-10-28 23:12:55
53,8,2010-10-29 21:42:01
53,6,2010-11-04 17:48:12
55,1,2011-10-26 23:51:42
55,8,2011-11-01 00:19:03
55,9,2011-11-07 17:44:52
55,6,2011-11-21 17:21:23
56,1,2012-01-30 20:32:58
56,6,2012-01-30 20:33:23
57,1,2010-10-29 17:39:23
57,8,2010-11-02 23:56:13
57,6,2010-11-03 00:39:05
59,1,2012-03-28 20:28:37
59,8,2012-03-28 20:28:47
59,6,2012-03-28 23:32:57
59,6,2012-03-28 23:32:57
60,1,2011-04-06 23:35:49
60,8,2011-04-06 23:36:04
60,9,2011-04-07 23:41:23
60,8,2011-04-13 16:49:14
60,6,2011-04-13 16:49:22
61,1,2011-09-16 15:04:39
61,8,2011-09-16 15:18:12
61,6,2011-09-16 23:04:46
62,1,2012-05-28 23:16:47
62,6,2012-05-28 23:18:27
64,1,2011-04-14 23:54:28
64,1,2011-04-14 23:54:46
64,9,2011-04-15 18:41:19
64,8,2011-04-27 18:30:04
64,9,2011-04-27 18:30:13
64,8,2011-05-06 17:42:13
64,6,2011-05-06 17:42:28
66,1,2012-06-26 16:46:53
66,8,2012-06-26 16:47:39
66,6,2012-06-26 21:05:58
67,1,2010-12-31 00:03:15
67,8,2011-01-11 17:40:08
67,6,2011-01-13 20:45:18
68,1,2012-04-11 22:09:22
68,8,2012-04-11 22:09:45
68,6,2012-04-12 18:31:37
70,1,2011-06-07 15:34:53
70,8,2011-06-07 15:35:14
70,9,2011-07-08 16:44:58
70,6,2011-07-12 15:00:36
71,1,2011-11-02 17:20:14
71,8,2011-11-02 17:20:41
71,6,2011-11-02 18:49:41
72,1,2011-01-25 22:15:31
72,8,2011-01-25 22:15:58
72,6,2011-02-14 20:48:42
73,1,2012-07-31 19:01:15
73,6,2012-07-31 19:02:02
74,6,2012-02-10 20:42:26
75,1,2010-03-12 00:15:54
75,1,2010-04-23 15:44:51
75,8,2010-04-23 15:44:59
75,6,2010-04-23 15:45:04
76,1,2012-01-11 00:01:36
76,6,2012-01-11 00:58:08
78,1,2011-11-08 18:18:10
78,8,2011-11-08 18:22:35
78,6,2011-12-06 01:33:12
80,1,2012-08-02 17:22:58
80,8,2012-08-03 20:12:15
80,6,2012-08-10 18:13:48
81,1,2010-02-09 17:31:47
81,8,2010-02-09 17:35:12
81,9,2010-02-09 17:35:26
81,9,2010-02-09 17:36:27
81,8,2010-02-19 17:31:40
81,6,2010-02-19 17:32:00
84,1,2010-12-10 18:15:54
84,8,2010-12-10 18:16:17
84,6,2010-12-10 18:16:34
85,1,2011-02-25 02:01:50
85,8,2011-02-25 02:03:45
85,6,2011-03-04 19:02:13
86,1,2012-06-13 00:12:48
86,8,2012-06-15 15:27:33
86,9,2012-06-15 18:00:52
86,6,2012-06-18 17:42:02
87,1,2011-11-14 23:35:55
87,8,2011-11-18 01:58:30
87,9,2011-11-18 01:59:03
87,6,2011-11-25 18:30:07
87,8,2011-11-28 22:50:35
87,9,2011-11-28 22:59:00
87,6,2011-12-07 22:41:18
88,1,2010-09-24 15:57:49
88,1,2010-09-24 21:43:51
88,9,2010-09-24 21:44:52
88,8,2010-10-04 18:48:54
88,6,2010-10-04 18:49:08
90,1,2010-03-16 16:59:03
90,8,2010-03-17 18:02:03
90,6,2010-03-17 18:49:51
91,1,2011-05-24 20:51:35
91,8,2011-05-24 20:52:07
91,6,2011-05-24 21:36:11
92,1,2010-03-09 19:09:33
92,8,2010-03-09 19:09:44
92,6,2010-03-18 18:27:56
93,1,2012-07-25 15:02:54
93,8,2012-07-30 17:39:04
93,6,2012-08-02 23:14:07
94,1,2012-02-08 17:33:56
94,8,2012-02-08 17:34:08
94,6,2012-02-08 17:34:34
95,1,2011-09-26 18:27:14
95,8,2011-09-29 21:54:32
95,6,2011-09-30 17:09:23
96,1,2012-02-28 01:31:32
96,8,2012-02-28 17:52:59
96,6,2012-02-29 17:25:13
96,6,2012-02-29 17:25:14
98,1,2012-07-05 20:16:51
98,8,2012-07-05 20:20:39
98,6,2012-07-09 21:21:24
99,1,2011-05-11 18:16:32
99,8,2011-05-11 18:17:55
99,6,2011-05-16 16:33:29
101,3,2010-06-18 21:47:15
101,1,2010-06-18 22:18:15
101,8,2010-06-29 15:35:47
101,6,2010-06-29 16:33:07
102,1,2012-01-30 18:09:29
102,8,2012-01-30 18:09:57
102,6,2012-01-31 17:12:06
103,1,2010-06-07 15:30:54
103,1,2010-06-07 15:49:10
103,8,2010-06-07 23:16:44
103,9,2010-06-08 18:37:29
103,8,2010-06-09 15:18:05
103,2,2010-06-09 15:18:28
103,6,2010-06-16 17:23:07
104,1,2011-01-27 17:34:59
104,8,2011-01-27 18:32:40
104,6,2011-01-27 18:34:24
108,1,2011-01-12 20:28:16
108,8,2011-01-24 18:21:26
108,6,2011-01-26 17:12:39
109,1,2010-09-24 23:35:31
109,8,2010-09-27 17:11:48
